the_geom,cartodb_id,objectid,angle,site_id,status,type,street,xstreet1,xstreet2,side,source_cartodb_id,target_cartodb_id,closest_dist
0101000020E61000009E0D8978107C52C07A835F8EE9654440,416,727,209,M15-022,Installed,Type D,2 Avenue,E 115 Street,E 114 Street,W,400,224,218.79966234
0101000020E610000054AB75EF557D52C0785A7D296E624440,417,1665,29,UE-020,Pending Sign,Type B,2 Avenue,E 72 Street,E 73 Street,W,401,558,56.7846524
0101000020E6100000DBC9D2E4877652C01432A17DD0584440,418,2912,337.33,QWH-048,Installed,Type D,Woodhaven Boulevard,Jamaica Avenue,86 Drive,E,402,714,571.22569061
0101000020E610000069FEE484447A52C0BD0486CD606A4440,419,798,203,X41-021,Sign Held,Type D,Webster Avenue,E 167 Street,E 168 Street,W,403,249,215.14865154
0101000020E61000008B5DF26F7E7952C0FAC589DB066D4440,420,1350,26.1,X41-027,Pending Sign,Type D,Webster Avenue,E 180 Street,E 179 Street,E,404,462,947.52760405
0101000020E61000009BADB86AE77C52C0633339729D634440,421,730,209,M15-025,Installed,Type D,2 Avenue,E 86 Street,E 87 Street,W,405,226,289.77498001
0101000020E6100000E9ABC3324F7452C0B0107A0EEB594440,422,2377,89.5,JM-032,Installed,Type B,Jamaica Avenue,Metropolitan Avenue,Van Wyck Expressway,N,406,637,1259.3144925
0101000020E6100000ACED14CBD97752C04FB86CF4AE6B4440,423,3128,26.5,EX-002,Installed,Type B,Morris Park Avenue,E 180 Street,Adams Street,W,407,795,2206.67390186
0101000020E61000006E019DD4597B52C046106EB1CF6E4440,424,1214,137.82,UM-033,Installed,Type B,Dyckman Street,Broadway,Seaman Avenue,N,408,420,44.53993771
0101000020E610000095A08004757C52C042E714B5BA654440,425,1245,119,UM-063,Installed,Type B,E 110 Street,Lexington Avenue,Park Avenue,S,410,432,317.34438663
0101000020E61000008D77434AF97952C0E963BE419D594440,426,1869,79,RD-004,Installed,Type B,Myrtle Avenue,Cornelia Street,Cypress Avenue,S,411,610,1104.80327936
0101000020E6100000E156738F097E52C00F94ABC99D564440,427,3,15,HB-016,Installed,Type A,Vanderbilt Avenue,Park Place,Sterling Place,W,412,3,295.74020526
0101000020E6100000E409972A797E52C0151FE411EE634440,428,3227,118.73,UW-069,Installed,Type B,W 77 Street,Columbus Avenue,Central Park West,N,413,826,61.34383792
0101000020E6100000C8EE5963AF7E52C0CDE34376A6544440,429,48,32,HB-037,Installed,Type B,Prospect Park West,Bartel Pritchard Square,14 Street,E,414,28,1004.5870289
0101000020E610000013ADD1417A7E52C0BFEC4CBFF2574440,430,1003,117.71,DB-014,Installed,Type B,Fulton Street,Lafayette Avenue,Fort Greene Place,N,415,312,53.01291736
0101000020E6100000D3DDE98AD17F52C0F2D2F011695E4440,431,3140,299,M14-009,Pending Sign,Type D,W 14 Street,6 Avenue,7 Avenue,N,416,800,295.10339155
0101000020E6100000A416589DEE7B52C013158FFFF65F4440,432,78,35,LI-023,Installed,Type B,Queens Plaza East,Queens Plaza North,Queens Plaza,W,417,47,1470.13508515
0101000020E61000007282988AF37B52C0FCBB82DC436A4440,433,1220,29,UM-038,Installed,Type B,Frederick Douglass Boulevard,W 155 Street,Harlem River Drive,W,418,423,133.43542527
0101000020E61000004061E22C387952C071624C6FEB524440,434,3092,49.5,B82-018,Pending Sign,Type D,Flatlands Avenue,E 105 Street,E 106 Street,S,419,771,44.77153242
0101000020E6100000192B07FB937B52C0183A7CDC2D544440,435,1435,356.2,B46-019,Pending Sign,Type D,Utica Avenue,Winthrop Street,Clarkson Avenue,E,420,496,306.80460025
0101000020E610000031BA5D9D737B52C0DAEDD872FB564440,436,1429,215.02,B46-004,Installed,Type D,Malcolm X Boulevard,Fulton Street,Marion Street,W,422,491,1052.08432874
0101000020E6100000255508F8B47A52C00A3D9AA1B1624440,437,824,313,M60-024,Removed Sign/Footing (Temporary),Type D,Hoyt Avenue North,31 Street,29 Street,N,423,265,774.84243396
0101000020E610000098BC0FC0158552C034A62158F74F4440,438,1791,67.59,NS-018,Installed,Type B,Broad Street,Tompkins Avenue,Quinn Street,N,424,573,27.4908062
0101000020E6100000E9A43423797B52C0A7418C219B574440,439,1449,351.4,B46-023,Installed,Type D,Malcolm X Boulevard,Halsey Street,Hancock Street,E,425,510,592.43182364
0101000020E6100000033287F1637A52C0E48322826F514440,440,3099,229.65,B82-029,Pending Sign,Type D,Flatlands Avenue,E 81 Street,E 82 Street,N,426,777,442.84081799
0101000020E6100000A98F47771D7752C0FBD7312DB66A4440,441,1539,253.49,Q44-027,Installed,Type D,Hugh J. Grant Circle,Virginia Avenue,Metropolitan Avenue,N,427,539,483.5125423
0101000020E6100000B596FF32D17752C017FAAD1575564440,442,3540,258.83,EB-038,Pending Sign,Type B,Pitkin Avenue,Euclid Avenue,Doscher Street,N,428,849,843.9714454
0101000020E61000000065B250DD7452C0547749C8A85F4440,443,1516,6.08,Q44-013,Removed Sign Only (Temporary),Type D,Main Street,Booth Memorial Avenue,56 Avenue,E,429,534,777.84497999
0101000020E61000000356A3E2147D52C05E33520A885A4440,444,469,113.83,NR-028,Installed,Type B,Broadway,Hooper Street,Keap Street,N,430,168,56.0863662
0101000020E6100000FA226A0A237852C0D7DC4F5C7E6F4440,445,806,233.52,X41-014,Pending Sign,Type D,Webster Avenue,E 204 Street,E Mosholu Parkway North,W,431,255,1485.68607994
0101000020E610000003208AF3397A52C00DEBB5FFE96F4440,446,1485,45.98,KB-001,Pending Sign,Type B,Broadway,W 225 Street,W 225 Street,E,432,519,1627.56469446
0101000020E61000008383E1533A7B52C0C6DBB6D923674440,447,1628,29,SX-064,Installed,Type B,Willis Avenue,Bruckner Boulevard,E 132 Street,W,433,550,210.18335804
0101000020E610000080C0AF18738752C0452C69C982504440,448,2696,91.26,NS-033,Installed,Type B,Forest Avenue,Broadway,Elizabeth Street,N,434,678,3393.7334707
0101000020E61000006793E2BD6B7B52C029D38A90FA504440,449,1442,175.27,B46-010,Pending Sign,Type D,Utica Avenue,Avenue H,Avenue I,W,435,503,42.29784908
0101000020E610000003208AF3397A52C00DEBB5FFE96F4440,450,1485,45.98,KB-001,Pending Sign,Type B,Broadway,W 225 Street,W 225 Street,E,436,519,716.76568809
0101000020E6100000283166283A7D52C013C8FFC146564440,451,19,15,BCM-047,Installed,Type B,Franklin Avenue,Park Place,Sterling Place,E,437,15,29.58484562
0101000020E61000005A1F363BD37F52C08149ECD8A34C4440,452,3127,218.37,B82-042,Pending Sign,Type D,Bay Parkway,Bath Avenue,Benson Avenue,W,438,794,1405.69361695
0101000020E6100000E2833922827E52C06B36D97612554440,453,47,32,HB-036,Installed,Type B,Prospect Park West,9 Street,,E,439,27,597.31150739
0101000020E610000079721905947852C07BB93068BD5F4440,454,1023,172.26,JH-002,Installed,Type B,82 Street,Roosevelt Avenue,37 Avenue,W,440,318,239.16108173
0101000020E610000070E22B6D587152C0F111E5E9B9614440,455,2921,158.53,BA-003,Installed,Type A,Bell Boulevard,41 Avenue,41 Road,W,441,721,5790.12497697
0101000020E6100000D82C40C4A87C52C0977BCE603D644440,456,1669,29,UE-024,Installed,Type B,2 Avenue,E 94 Street,E 95 Street,E,442,562,163.52627527
0101000020E6100000149A374AC17752C0063FA9D8F45D4440,457,2904,291.1,QWH-052,Installed,Type D,Queens Boulevard,59 Avenue,90 Street,N,443,706,226.35180367
0101000020E61000005004082C8D7B52C034BB88D562534440,458,1438,175.4,B46-008,Pending Sign,Type D,Utica Avenue,Church Avenue,Snyder Avenue,W,444,499,464.96762496
0101000020E610000016503F73C57A52C0F8F069C195554440,459,1301,78.08,BV-001,Pending Sign,Type B,Pitkin Avenue,Grafton Street,Legion Street,N,445,449,899.04569506
0101000020E6100000C7CA4886EB7952C000CD5B998B6B4440,460,790,23,X41-005,Sign Held,Type D,Webster Avenue,Claremont Parkway,E 173 Street,E,446,246,652.65563321
0101000020E6100000EFC905DA647D52C02AB1FC93C35A4440,461,153,25.69,B44-001,Pending Sign,Type C,Havemeyer Street,Broadway,S 5 Street,W,447,89,16.92299939
0101000020E6100000731CE9CE8D7852C0F23B2201B15F4440,462,1022,81.6,JH-003,Installed,Type A,Roosevelt Avenue,82 Street,83 Street,N,448,317,61.2224687
0101000020E61000008D77434AF97952C0E963BE419D594440,463,1869,79,RD-004,Installed,Type B,Myrtle Avenue,Cornelia Street,Cypress Avenue,S,449,610,637.09859023
0101000020E61000002B24B929CE7F52C0C2DBE201A54C4440,464,3082,38.37,B82-002,Pending Sign,Type D,Bay Parkway,Bath Avenue,Benson Avenue,E,450,766,162.31890942
0101000020E6100000E88AB28BA07952C0761981F035694440,465,2145,107.99,X6-020,Installed,Type D,E 163 Street,Prospect Avenue,Rev. James A. Polite Avenue,S,451,625,157.50821258
0101000020E610000095A5A7726E8052C064D0DE1EEC534440,466,1484,127.88,SB-030,Pending Sign,Type B,36 Street,3 Avenue,2 Avenue,S,452,518,407.26375159
0101000020E61000000AC5CF76518052C048667303405D4440,467,1354,97.09,LM-180,Installed,Type B,W Houston Street,Varick Street,6 Avenue,S,453,464,373.5468131
0101000020E6100000DF3D2964A57752C0822B9005ED5F4440,468,2107,157,CO-011,Installed,Type B,Junction Boulevard,Roosevelt Avenue,38 Avenue,E,454,615,646.7961231
0101000020E6100000F4AE88646D7D52C021FF6CC82D624440,469,1667,29,UE-022,Pending Sign,Type B,2 Avenue,E 69 Street,E 70 Street,W,455,560,28.13648558
0101000020E6100000D2273D39CF7452C085492216EB5D4440,470,1507,355.36,Q44-010,Installed,Type D,Main Street,Melbourne Avenue,68 Avenue,E,456,530,933.23896601
0101000020E6100000D95B4AF9487F52C0F4F757A1DC5E4440,471,1841,119,M23-026,Installed,Type D,E 23 Street,Broadway,Madison Avenue,S,457,593,144.35436457
0101000020E61000007BACEA62017352C0B615B94E345A4440,472,2682,61.81,JM-037,Installed,Type B,Jamaica Avenue,163 Street,162 Street,N,458,676,140.58110409
0101000020E610000005A4D26F437E52C01AD09AB4C9574440,473,1300,81.35,DB-031,Installed,Type B,Greene Avenue,Fulton Street,Cumberland Street,S,459,448,216.17856011
0101000020E610000037F76887B68052C060C65BF3B45B4440,474,694,120.18,LM-098,Installed,Type B,Chambers Street,Greenwich Street,West Street,N,460,213,126.77888539
0101000020E6100000C8EE5963AF7E52C0CDE34376A6544440,475,48,32,HB-037,Installed,Type B,Prospect Park West,Bartel Pritchard Square,14 Street,E,461,28,1198.75730641
0101000020E610000076618CAD867852C0DB24A51549554440,476,1018,79.44,EB-001,Installed,Type B,Livonia Avenue,Ashford Street,Warwick Street,S,462,315,1545.57797842
0101000020E6100000805891F6647D52C0644066B7625D4440,477,1166,173,GW-011,Installed,Type A,West Street,Greenpoint Avenue,Milton Street,W,463,387,555.01344258
0101000020E610000085D3816AA37D52C0D9EEAF855A594440,478,927,75,DB-009,Installed,Type A,Flushing Avenue,Williamsburg Street West,Steuben Street,N,464,289,482.53030649
0101000020E610000064155DDB527B52C0FDECE1EB2D4F4440,479,1446,175.33,B46-012,Pending Sign,Type D,Utica Avenue,Avenue N,Avenue O,W,465,507,561.72192817
0101000020E6100000FA226A0A237852C0D7DC4F5C7E6F4440,480,806,233.52,X41-014,Pending Sign,Type D,Webster Avenue,E 204 Street,E Mosholu Parkway North,W,466,255,365.66148813
0101000020E6100000FB5128AD177E52C0307B5DBDC7524440,481,521,62.38,NR-080,Installed,Type B,Church Avenue,E 10 Street,Stratford Road,N,467,187,280.59879886
0101000020E610000079721905947852C07BB93068BD5F4440,482,1023,172.26,JH-002,Installed,Type B,82 Street,Roosevelt Avenue,37 Avenue,W,468,318,398.56823113
0101000020E6100000930ACC0CCE7C52C00BCBDE631A544440,483,541,85.33,NR-100,Installed,Type B,Winthrop Street,Nostrand Avenue,New York Avenue,S,469,195,219.13990769
0101000020E6100000F6881A4A3E7452C056E49A23C3594440,484,2378,156.36,JM-033,Installed,Type B,Van Wyck Expressway,89 Avenue,91 Avenue,W,470,638,1552.88740752
0101000020E610000033223CF8357B52C022177DCE3C6E4440,485,1194,0,UM-013,Installed,Type B,Hillside Avenue,Nagle Avenue,Sickles Street,E,471,408,175.03554107
0101000020E6100000A4DB8BB5737D52C07B90A4AD09644440,486,1405,299,M86-010,Installed,Type D,E 86 Street,5 Avenue,Madison Avenue,N,472,483,12.68307817
0101000020E61000002B9C529B5A8252C099A27E96CC514440,487,2947,112.34,BR-074,Installed,Custom,Bay Ridge Avenue,Shore Road,Ferry Terminal,E,473,730,1390.73885822
0101000020E6100000713F77AA127552C096D7DAA307614440,488,1519,339.08,Q44-015,Installed,Type D,Main Street,Kissena Boulevard,41 Road,E,474,537,29.07518726
0101000020E61000002B24B929CE7F52C0C2DBE201A54C4440,489,3082,38.37,B82-002,Pending Sign,Type D,Bay Parkway,Bath Avenue,Benson Avenue,E,475,766,481.2786863
0101000020E610000047FDF21C7A7B52C039D40A2B86574440,490,1448,171.4,B46-003,Installed,Type D,Malcolm X Boulevard,Halsey Street,Macon Street,W,476,509,15.07055066
0101000020E610000035F53F90F07D52C0624CD2B284574440,491,2858,105.45,DB-058,Installed,Type B,Fulton Street,Vanderbilt Avenue,Clinton Avenue,N,477,684,37.92120745
0101000020E6100000DDEDEF42887752C0251D3B87785C4440,492,2905,145.22,QWH-007,Installed,Type D,Woodhaven Boulevard,Penelope Street,Fleet Street,W,478,707,1089.05112675
0101000020E61000001F19530D2C7F52C0F8FFF8789C584440,493,3230,92,DB-076,Installed,Type B,Willoughby Street,Jay Street,Lawrence Street,N,479,828,247.6138847
0101000020E6100000E9ABC3324F7452C0B0107A0EEB594440,494,2377,89.5,JM-032,Installed,Type B,Jamaica Avenue,Metropolitan Avenue,Van Wyck Expressway,N,480,637,1305.4769604
0101000020E6100000088BE8E9C68952C0EA23EEBC86514440,495,1346,84.67,NS-001,Pending Sign,Type A,Richmond Terrace,Van Name Avenue,Mariners Lane,N,481,459,1270.40450527
0101000020E61000004577828FFA7D52C06398438F43664440,496,3063,28.15,UW-053,Installed,Type B,Broadway,W 103 Street,W 102 Street,E,482,758,517.32289193
0101000020E610000039243B8FB77952C0B4E0CD919C524440,497,3095,49.51,B82-017,Installed,Type D,Glenwood Road,Rockaway Parkway,E 98 Street,S,483,773,530.84492128
0101000020E61000001FCAB010607952C01111B773895F4440,498,2101,82,WO-007,Installed,Type B,Roosevelt Avenue,69 Street,39 Avenue,N,484,614,2400.84571175
0101000020E6100000CF7BA254667C52C0D4407C11155B4440,499,1306,82.85,GW-013,Installed,Type B,Grand Street,Graham Avenue,Humboldt Street,S,485,451,177.68154549
0101000020E6100000FA226A0A237852C0D7DC4F5C7E6F4440,500,806,233.52,X41-014,Pending Sign,Type D,Webster Avenue,E 204 Street,E Mosholu Parkway North,W,486,255,523.08292134
0101000020E610000016A60089407952C0254D442A5A6E4440,501,954,98.97,FR-005,Installed,Type B,E Fordham Road,E Kingsbridge Road,Valentine Avenue,N,487,299,350.77557835
0101000020E61000000942252E5D7852C074C382CAE95E4440,502,2899,134.5,QWH-004,Installed,Type D,Broadway,Whitney Avenue,45 Avenue,W,488,701,279.76551216
0101000020E61000002D30502AD77952C0B2A66183C7564440,503,1320,273.98,BV-002,Sign Held,Type D,Fulton Street,Van Sinderen Avenue,Sackman Street,N,489,454,1429.94330219
0101000020E61000000AEE9A9D0F8052C00C2AE1E7845F4440,504,1850,119,M23-022,Installed,Type D,W 23 Street,9 Avenue,8 Avenue,S,490,600,62.45170161
0101000020E6100000A265AF9D517D52C07970515AEB4D4440,505,562,60.07,NR-121,Installed,Type B,Kings Highway,E 15 Street,E 16 Street,S,491,199,43.93231903
0101000020E610000090468A84D07C52C0B491B95E8D594440,506,475,171.4,NR-034,Installed,Type B,Marcy Avenue,Flushing Avenue,Ellery Street,W,492,170,383.81763262
0101000020E6100000DD5606AC547652C039B556B1EE664440,507,3146,349,CP-001,Installed,Custom,Soundview Avenue,Shorehaven Greenway,,S,493,804,2213.80841928
0101000020E6100000804708D8987B52C080362CE33C544440,508,1436,175.3,B46-007,Pending Sign,Type D,Utica Avenue,Winthrop Street,Clarkson Avenue,W,494,497,78.76395626
0101000020E6100000C0F8BE42217A52C06CF512DF74684440,509,2857,75.43,SX-088,Installed,Type B,Westchester Avenue,Jackson Avenue,Trinity Avenue,N,495,683,426.11301733
0101000020E6100000255508F8B47A52C00A3D9AA1B1624440,510,824,313,M60-024,Removed Sign/Footing (Temporary),Type D,Hoyt Avenue North,31 Street,29 Street,N,496,265,1478.1974445
0101000020E61000001332A761967F52C0DCEC1603114D4440,511,3077,38.4,B82-003,Installed,Type D,Bay Parkway,86 Street,85 Street,E,497,762,39.55107779
0101000020E6100000E409972A797E52C0151FE411EE634440,512,3227,118.73,UW-069,Installed,Type B,W 77 Street,Columbus Avenue,Central Park West,N,498,826,367.12097828
0101000020E61000002203F1F7997F52C05AD58F5A114D4440,513,3126,218.4,B82-041,Pending Sign,Type D,Bay Parkway,86 Street,85 Street,W,499,793,955.77291395
0101000020E61000003D4BE45DE97C52C0B5D2E7A670584440,514,161,171.39,B44-030,Installed,Type D,Nostrand Avenue,DeKalb Avenue,Kosciuszko Street,W,500,92,323.8986659
0101000020E61000008EF8938EC08052C05F01E005635B4440,515,1110,11.64,LM-161,Installed,Type B,Greenwich Street,Barclay Street,Park Place,W,501,352,12.55920679
0101000020E610000040E05360277852C0EBCB0568635E4440,516,2901,196.35,QWH-005,Installed,Type D,Broadway,Queens Boulevard,51 Avenue,W,502,703,723.50533386
0101000020E61000002F13F4570A7D52C0FF26BF86E8544440,517,15,355.5,B44-010,Installed,Type D,Rogers Avenue,Empire Boulevard,Sterling Street,E,503,13,266.83484832
0101000020E6100000F1283F99387D52C055569BBA94634440,518,3228,28.3306000407,UE-055,Installed,Type A,Lexington Avenue,E 84 Street,E 83 Street,E,504,827,148.19038042
0101000020E61000005D2D1C19467E52C05C80EB43AE5D4440,519,3145,259,MS-015,Installed,Custom,East River Esplanade,FDR Drive,E 20 Street,W,505,803,236.72400945
0101000020E61000006A336485AB7C52C0CEF1ECF02A654440,520,3155,119,UE-126,Installed,Type B,E 103 Street,Lexington Avenue,Park Avenue,S,506,805,368.59526688
0101000020E61000004902A0E73C7E52C01BBF85EC544D4440,521,3080,97.5,B82-006,Installed,Type D,Kings Highway,McDonald Avenue,Dahill Road,S,507,764,593.19189099
0101000020E610000080C0AF18738752C0452C69C982504440,522,2696,91.26,NS-033,Installed,Type B,Forest Avenue,Broadway,Elizabeth Street,N,508,678,6128.12097628
0101000020E610000095A5A7726E8052C064D0DE1EEC534440,523,1484,127.88,SB-030,Pending Sign,Type B,36 Street,3 Avenue,2 Avenue,S,509,518,2515.88159542
0101000020E61000008A4648A46D7E52C06EE7A221D5644440,524,1400,119,M86-017,Installed,Type D,W 86 Street,Amsterdam Avenue,Broadway,S,510,481,46.94926488
0101000020E61000005A47CE34307752C0449B2139F95F4440,525,965,82.45,CO-001,Installed,Type C,Roosevelt Avenue,National Street,104 Street,S,511,301,36.07779377
0101000020E610000076618CAD867852C0DB24A51549554440,526,1018,79.44,EB-001,Installed,Type B,Livonia Avenue,Ashford Street,Warwick Street,S,512,315,467.95025489
0101000020E610000079721905947852C07BB93068BD5F4440,527,1023,172.26,JH-002,Installed,Type B,82 Street,Roosevelt Avenue,37 Avenue,W,513,318,1030.37597746
0101000020E6100000088BE8E9C68952C0EA23EEBC86514440,528,1346,84.67,NS-001,Pending Sign,Type A,Richmond Terrace,Van Name Avenue,Mariners Lane,N,514,459,12534.28647959
0101000020E61000001CD83716757A52C0A7F010A077694440,529,2140,111.33,X6-015,Installed,Type D,E 161 Street,Melrose Avenue,Elton Avenue,S,515,623,145.04764393
0101000020E6100000F7B23D39FA7B52C0CC2F055E5E5F4440,530,68,99,LI-016,Installed,Type B,Thomson Avenue,30 Street,30 Place,S,516,40,398.18625048
0101000020E6100000ACED14CBD97752C04FB86CF4AE6B4440,531,3128,26.5,EX-002,Installed,Type B,Morris Park Avenue,E 180 Street,Adams Street,W,517,795,582.14776431
0101000020E6100000255508F8B47A52C00A3D9AA1B1624440,532,824,313,M60-024,Removed Sign/Footing (Temporary),Type D,Hoyt Avenue North,31 Street,29 Street,N,518,265,1007.53776151
0101000020E61000005396599FE88452C030BF1EC29E514440,533,1783,90,NS-010,Installed,Type B,Victory Boulevard,Bay Street,Bay Street,S,519,569,232.79398816
0101000020E6100000C020C12AEA8052C0375CF5F1A95A4440,534,1094,16.41,LM-157,Installed,Type A,Washington Street,Rector Street,Carlisle Street,E,520,349,84.3711781
0101000020E61000006C15EC200B7952C016B1577C186E4440,535,1067,289.71,FR-009,Installed,Type C,E 189 Street,3 Avenue,Park Avenue,N,521,342,1297.7583529
0101000020E61000003CA70EAC1C7D52C0A30E986DE1674440,536,2645,147.34,UM-133,Installed,Type B,W 125 Street,Hancock Place,Amsterdam Avenue,S,522,663,75.33649259
0101000020E610000016503F73C57A52C0F8F069C195554440,537,1301,78.08,BV-001,Pending Sign,Type B,Pitkin Avenue,Grafton Street,Legion Street,N,523,449,234.23133949
0101000020E6100000E26004A9F27552C0F3E8B09403564440,538,2931,349,QWH-044,Installed,Type D,Cross Bay Boulevard,Pitkin Avenue,149 Avenue,E,524,724,68.58242914
0101000020E610000095A5A7726E8052C064D0DE1EEC534440,539,1484,127.88,SB-030,Pending Sign,Type B,36 Street,3 Avenue,2 Avenue,S,525,518,1464.21279906
0101000020E610000012BE513A988452C0A04C4F35934F4440,540,1795,149.58,NS-022,Installed,Type B,Bay Street,Townsend Avenue,Norwood Avenue,E,526,574,2663.51208929
0101000020E6100000A645AC31757A52C09482629A5E6B4440,541,943,30.46,SX-004,Installed,Type B,Grand Concourse,E 170 Street,E 171 Street,E,527,290,275.09293838
0101000020E61000004EC9E48D557F52C0142B5097954D4440,542,3125,218.4,B82-040,Pending Sign,Type D,Bay Parkway,79 Street,78 Street,W,528,792,2265.04129556
0101000020E61000002846BD09087952C0D9FE18BE03694440,543,2149,135.58,X6-024,Installed,Type D,Hunts Point Avenue,Bruckner Boulevard,Southern Boulevard,W,529,627,1237.81312762
0101000020E61000006A9762068F7C52C0CC56328B1D694440,544,3774,21.5,UM-170,Pending Sign,Type B,St. Nicolas Avenue,W 141 Street,W 140 Street,W,530,859,511.34254788
0101000020E610000045F2CCA5917852C0589F17E0006F4440,545,805,231,X41-015,Pending Sign,Type D,Webster Avenue,Bedford Park Boulevard,E 199 Street,W,531,254,1849.08430953
0101000020E610000099FEABC97C7B52C0F5FE93D73A524440,546,1439,175.33,B46-009,Pending Sign,Type D,Utica Avenue,Avenue D,Clarendon Road,W,532,500,185.05957435
0101000020E610000045C96466D77A52C0164DB444A06A4440,547,1052,29.12,SX-036,Installed,Type B,Grand Concourse,McClellan Street,E 166 Street,W,533,336,257.09774743
0101000020E610000044596D0FE97C52C0852AD2F91E5F4440,548,54,55,LI-004,Installed,Type B,Jackson Avenue,49 Avenue,11 Street,W,534,33,15.53677223
0101000020E610000097F5F907307A52C04FB5399C7C694440,549,2142,113.25,X6-017,Installed,Type D,E 163 Street,3 Avenue,Elton Avenue,S,535,624,138.74268643
0101000020E61000006531CA903F7A52C02236C421636A4440,550,783,23,X41-003,Sign Held,Type D,Webster Avenue,E 167 Street,E 168 Street,E,536,242,9.89421218
0101000020E610000039243B8FB77952C0B4E0CD919C524440,551,3095,49.51,B82-017,Installed,Type D,Glenwood Road,Rockaway Parkway,E 98 Street,S,537,773,530.84492128
0101000020E610000003B39620167552C0FEFB6AE403614440,552,1520,159.08,Q44-047,Installed,Type D,Main Street,41 Avenue,41 Road,W,538,538,122.74174422
0101000020E610000095A5A7726E8052C064D0DE1EEC534440,553,1484,127.88,SB-030,Pending Sign,Type B,36 Street,3 Avenue,2 Avenue,S,539,518,2799.73187726
0101000020E610000076618CAD867852C0DB24A51549554440,554,1018,79.44,EB-001,Installed,Type B,Livonia Avenue,Ashford Street,Warwick Street,S,540,315,257.12376109
0101000020E610000080C0AF18738752C0452C69C982504440,555,2696,91.26,NS-033,Installed,Type B,Forest Avenue,Broadway,Elizabeth Street,N,541,678,6500.04417113
0101000020E6100000DDEDEF42887752C0251D3B87785C4440,556,2905,145.22,QWH-007,Installed,Type D,Woodhaven Boulevard,Penelope Street,Fleet Street,W,542,707,607.78317839
0101000020E610000095A5A7726E8052C064D0DE1EEC534440,557,1484,127.88,SB-030,Pending Sign,Type B,36 Street,3 Avenue,2 Avenue,S,543,518,2425.12832422
0101000020E61000005244A670F57252C03D8CE66B9F4B4440,558,2867,250.84,QWH-035,Installed,Type D,Rockaway Beach Boulevard,Beach 67 Street,Beach 69 Street,N,544,687,1022.56276896
0101000020E6100000192B07FB937B52C0183A7CDC2D544440,559,1435,356.2,B46-019,Pending Sign,Type D,Utica Avenue,Winthrop Street,Clarkson Avenue,E,545,496,221.8567324
0101000020E61000004EC9E48D557F52C0142B5097954D4440,560,3125,218.4,B82-040,Pending Sign,Type D,Bay Parkway,79 Street,78 Street,W,546,792,47.33611384
0101000020E610000016503F73C57A52C0F8F069C195554440,561,1301,78.08,BV-001,Pending Sign,Type B,Pitkin Avenue,Grafton Street,Legion Street,N,547,449,553.36098925
0101000020E610000035BF4454027752C069D246EE2B5B4440,562,2908,2.55,QWH-050,Installed,Type D,Woodhaven Boulevard,Metropolitan Avenue,Polo Place,E,548,710,1501.3224528
0101000020E6100000BE8745DF4F7C52C03CDA0A5FAC554440,563,37,94,BCM-008,Installed,Type B,Eastern Parkway South Mall,Kingston Avenue,Brooklyn Avenue,C,549,22,689.58836464
0101000020E61000003E0705B5677652C000A222E655584440,564,2914,335.23,QWH-047,Installed,Type D,Woodhaven Boulevard,91 Avenue,90 Avenue,E,550,716,394.49256564
0101000020E610000080C0AF18738752C0452C69C982504440,565,2696,91.26,NS-033,Installed,Type B,Forest Avenue,Broadway,Elizabeth Street,N,551,678,848.68146136
0101000020E6100000875D76C2D07C52C04D32D95EFC554440,566,46,4,BCM-049,Installed,Type A,Nostrand Avenue,St. Johns Place,Sterling Place,E,552,26,35.22181017
0101000020E6100000ACED14CBD97752C04FB86CF4AE6B4440,567,3128,26.5,EX-002,Installed,Type B,Morris Park Avenue,E 180 Street,Adams Street,W,553,795,223.87602988
0101000020E61000006A336485AB7C52C0CEF1ECF02A654440,568,3155,119,UE-126,Installed,Type B,E 103 Street,Lexington Avenue,Park Avenue,S,554,805,394.88033253
0101000020E610000050AADC8D8A7B52C01911A2EA26584440,569,1427,171.4,B46-002,Installed,Type D,Malcolm X Boulevard,Gates Avenue,Quincy Street,W,555,489,242.2926331
0101000020E6100000283166283A7D52C013C8FFC146564440,570,19,15,BCM-047,Installed,Type B,Franklin Avenue,Park Place,Sterling Place,E,556,15,21.64067139
0101000020E61000008D77434AF97952C0E963BE419D594440,571,1869,79,RD-004,Installed,Type B,Myrtle Avenue,Cornelia Street,Cypress Avenue,S,557,610,282.96805376
0101000020E6100000988D21E0CE7E52C0A9EC9070395C4440,572,2602,21.4,LM-195,Installed,Type A,Pitt Street,E Houston Street,Stanton Street,E,558,651,491.53950866
0101000020E610000024AE29694A7C52C0505167BDE04C4440,573,170,171.75,B44-021,Installed,Type D,Nostrand Avenue,Avenue U,Avenue T,W,559,100,536.71372306
0101000020E6100000255508F8B47A52C00A3D9AA1B1624440,574,824,313,M60-024,Removed Sign/Footing (Temporary),Type D,Hoyt Avenue North,31 Street,29 Street,N,560,265,307.36725768
0101000020E61000007A503BF7FA7B52C08EC5808DA74F4440,575,3106,246.58,B82-033,Pending Sign,Type D,Kings Highway,Flatbush Avenue,Ryder Street,N,561,783,15.59233286
0101000020E61000004A7B5176CB7652C00AA935BB33604440,576,3034,68.39,CO-024,Installed,Type B,Roosevelt Avenue,111 Street,108 Street,N,562,748,628.03626652
